plot_id,lon,lat,certainty
22.06,-51.3866206,64.13122242,certain
22.07,-51.38659225,64.13123499,certain
22.08,-51.38656344,64.13124795,certain
22.09,-51.38653402,64.1312609,certain
22.1,-51.38650617,64.13127425,certain
23,-51.3864805,64.13128696,certain
23.01,-51.38645314,64.13130038,certain
23.02,-51.38642722,64.13131369,certain
23.03,-51.38640127,64.13132662,certain
23.04,-51.38637482,64.1313393,certain
23.05,-51.38634938,64.13135281,certain
23.06,-51.38611535,64.13146414,certain
23.07,-51.38608819,64.13147721,certain
23.08,-51.38605979,64.13148885,likely
23.09,-51.38603035,64.13150195,likely
23.1,-51.3860017,64.13151498,certain
24,-51.38597118,64.13152827,certain
25,-51.38575968,64.13162293,certain
25.01,-51.3857298,64.13163433,certain
25.02,-51.38570273,64.13164624,certain
25.03,-51.38564189,64.13167055,certain
25.04,-51.38561355,64.13168266,certain
25.05,-51.38558509,64.13169427,certain
25.06,-51.38570153,64.13167152,possible
25.07,-51.38572971,64.13168458,possible
25.08,-51.38575788,64.13169765,possible
25.09,-51.38564546,64.13164528,possible
25.1,-51.38561745,64.13163206,possible
26,-51.38557046,64.13170081,certain
26.01,-51.38553992,64.13171205,certain
26.02,-51.38550915,64.13172377,certain
26.03,-51.38556852,64.131723,certain
26.04,-51.38559885,64.13173683,likely
26.05,-51.38551079,64.13169973,certain
26.06,-51.38548123,64.1316867,certain
27,-51.38547633,64.13173588,certain
27.01,-51.38544983,64.13174785,certain
27.02,-51.3854212,64.13176029,certain
27.03,-51.38538909,64.13177205,likely
27.04,-51.3853615,64.13178479,certain
27.05,-51.38532999,64.1317968,certain
27.06,-51.38530051,64.13180881,certain
27.07,-51.38527068,64.13182115,likely
27.08,-51.38538867,64.13179758,certain
27.09,-51.3854155,64.13181112,certain
27.1,-51.38532837,64.13177373,certain
28,-51.38524929,64.13183002,certain
28.01,-51.38521889,64.13184223,certain
28.02,-51.38518878,64.13185443,certain
28.03,-51.38515807,64.1318664,certain
28.04,-51.38512755,64.13187866,certain
28.05,-51.385097,64.13189033,certain
28.06,-51.38501408,64.13192314,certain
28.07,-51.38498421,64.13193478,certain
29,-51.38486488,64.13198237,certain
29.01,-51.38483447,64.13199416,certain
